row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
8cbf98779c,Genome,100,8,98,152,3,54,3,4,73544195861,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,74.483,1687.46
50e47a6864,Genome,100,8,98,152,3,54,3,4,73544195861,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,74.745,6725.88
4ffbe95568,Genome,100,8,98,152,3,54,3,4,73544195861,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,73.6724,5366.18
42579fa077,Genome,100,8,98,152,3,54,3,4,73544195861,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,73.6143,9939.29
541c1fed01,Genome,100,8,98,152,3,54,3,4,73544195861,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,73.613,33128.24
ca2ffd1c4e,Genome,100,9,98,158,3,57,3,4,63246706842,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,64.2682,1480.29
fc9654554b,Genome,100,9,98,158,3,57,3,4,63246706842,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,64.7086,5834.93
a719116cd0,Genome,100,9,98,158,3,57,3,4,63246706842,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,63.4087,4619.39
48f47bc801,Genome,100,9,98,158,3,57,3,4,63246706842,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,63.3577,8554.84
ed078eed61,Genome,100,9,98,158,3,57,3,4,63246706842,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,63.3565,28513.18
d6fb3cb867,Genome,100,10,98,170,3,58,3,4,66665079801,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,67.3085,1539.35
d8da90230e,Genome,100,10,98,170,3,58,3,4,66665079801,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,67.4527,6077.05
246b4f53e3,Genome,100,10,98,170,3,58,3,4,66665079801,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,66.8048,4866.42
3476a12ce7,Genome,100,10,98,170,3,58,3,4,66665079801,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,66.7487,9012.52
f828c34ac3,Genome,100,10,98,170,3,58,3,4,66665079801,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,66.7474,30038.89
29e8d28d49,Genome,150,1,148,223,3,83,3,4,97966551507,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,98.9633,2266.51
4ca44c3189,Genome,150,1,148,223,3,83,3,4,97966551507,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,99.2493,8943.3
